,Usia,gender,gaji,anak
0,39,L,3-5jt,5
1,26,P,3-5jt,1
2,19,L,3-5jt,3
3,23,L,3-5jt,3
4,41,L,3-5jt,1
5,26,L,3-5jt,3
6,41,L,3-5jt,1
7,58,P,3-5jt,5
8,55,L,3-5jt,3
9,59,P,3-5jt,5
10,38,L,3-5jt,1
11,21,L,3-5jt,4
12,59,L,3-5jt,0
13,31,L,3-5jt,6
14,50,L,3-5jt,6
15,29,L,3-5jt,0
16,29,P,3-5jt,1
17,44,L,3-5jt,2
18,35,L,3-5jt,2
19,52,P,3-5jt,1
20,52,P,3-5jt,3
21,52,L,3-5jt,1
22,51,P,3-5jt,4
23,47,L,3-5jt,4
24,57,L,3-5jt,3
25,45,P,3-5jt,3
26,22,P,3-5jt,0
27,57,P,3-5jt,2
28,30,P,3-5jt,5
29,20,P,3-5jt,6
30,58,L,3-5jt,6
31,19,P,3-5jt,0
32,22,L,3-5jt,2
33,25,P,3-5jt,4
34,42,L,3-5jt,3
35,23,P,3-5jt,5
36,47,P,3-5jt,6
37,20,P,3-5jt,1
38,39,L,3-5jt,6
39,49,P,3-5jt,4
40,27,L,3-5jt,4
41,52,L,3-5jt,5
42,40,P,3-5jt,2
43,38,L,3-5jt,4
44,47,L,3-5jt,4
45,53,P,3-5jt,4
46,26,L,3-5jt,2
47,32,P,3-5jt,6
48,34,P,3-5jt,5
49,20,L,3-5jt,1
50,37,L,3-5jt,5
51,30,L,3-5jt,3
52,45,P,3-5jt,0
53,23,L,3-5jt,5
54,53,L,3-5jt,6
55,50,P,3-5jt,2
56,42,P,3-5jt,3
57,17,P,3-5jt,5
58,23,L,3-5jt,1
59,29,L,3-5jt,0
60,33,L,3-5jt,2
61,50,L,3-5jt,5
62,47,L,3-5jt,0
63,60,L,3-5jt,5
64,19,P,3-5jt,4
65,38,L,3-5jt,0
66,60,P,3-5jt,1
67,51,L,3-5jt,0
68,19,L,3-5jt,1
69,51,P,3-5jt,5
70,26,P,3-5jt,0
71,32,L,3-5jt,6
72,19,P,3-5jt,4
73,59,P,3-5jt,4
74,20,L,3-5jt,2
75,40,L,3-5jt,5
76,60,L,3-5jt,5
77,22,P,3-5jt,0
78,42,L,3-5jt,0
