,usia,gender,gaji,anak
0,24,L,3-5jt,6
1,39,L,3-5jt,2
2,31,P,3-5jt,5
3,44,P,3-5jt,5
4,44,L,1-3jt,3
5,35,L,1-3jt,3
6,58,L,3-5jt,3
7,52,P,1-3jt,2
8,59,P,1-3jt,4
9,35,P,1-3jt,4
10,51,P,5-10jt,6
11,33,P,1-3jt,0
12,20,P,5-10jt,2
13,24,L,3-5jt,0
14,30,P,1-3jt,2
15,52,L,1-3jt,0
16,25,P,1-3jt,4
17,17,P,3-5jt,0
18,57,L,1-3jt,6
19,23,L,5-10jt,5
20,35,L,5-10jt,6
21,48,L,5-10jt,6
22,36,P,1-3jt,2
23,59,L,1-3jt,1
24,18,P,1-3jt,4
25,24,P,3-5jt,1
26,27,P,3-5jt,4
27,46,L,1-3jt,6
28,18,P,1-3jt,2
29,21,P,3-5jt,5
30,25,L,1-3jt,6
31,47,P,3-5jt,2
32,37,L,3-5jt,4
33,31,P,5-10jt,1
34,49,P,5-10jt,0
35,47,P,3-5jt,4
36,18,P,3-5jt,3
37,20,P,5-10jt,4
38,49,L,1-3jt,5
39,32,P,1-3jt,3
40,57,P,3-5jt,5
41,17,P,1-3jt,6
42,51,P,1-3jt,5
43,51,L,3-5jt,2
44,29,L,5-10jt,3
45,31,L,3-5jt,2
46,54,P,3-5jt,1
47,38,P,3-5jt,4
48,22,L,5-10jt,6
49,37,P,5-10jt,6
50,29,L,3-5jt,3
51,18,P,5-10jt,0
52,49,P,1-3jt,3
53,58,P,5-10jt,6
54,39,P,3-5jt,6
55,52,P,1-3jt,6
56,47,L,1-3jt,0
57,35,L,3-5jt,0
58,47,P,1-3jt,2
59,44,P,3-5jt,0
60,59,L,5-10jt,5
61,31,L,5-10jt,4
62,55,L,1-3jt,6
63,28,L,5-10jt,4
64,42,L,3-5jt,5
65,33,P,3-5jt,5
66,20,L,5-10jt,2
67,42,L,3-5jt,0
68,43,L,5-10jt,2
69,57,P,1-3jt,5
70,39,P,3-5jt,5
71,21,L,3-5jt,0
72,39,P,3-5jt,5
73,60,P,1-3jt,3
